Czas [ms]	 Przyspieszenie obudowy [m/s^2]	 Przyspieszenie eliminatora  [m/s^2]	Pr�dko�� obrotowa [obr/sek]
307399	9,760000	9,840000	0,000000
307406	9,720000	9,790000	0,000000
307414	9,720000	9,820000	0,000000
307420	9,720000	9,810000	0,000000
307427	9,710000	9,830000	0,000000
307434	9,740000	9,820000	0,000000
307441	9,740000	9,820000	0,000000
307447	9,760000	9,870000	0,000000
307454	9,750000	9,880000	0,000000
307462	9,760000	9,820000	0,000000
307469	9,720000	9,830000	0,000000
307475	9,720000	9,810000	0,000000
307482	9,720000	9,830000	0,000000
307489	9,760000	9,830000	0,000000
307495	9,770000	9,850000	0,000000
307503	9,750000	9,850000	0,000000
307510	9,730000	9,860000	0,000000
307517	9,760000	9,870000	0,000000
307523	9,710000	9,800000	0,000000
307530	9,740000	9,820000	0,000000
307537	9,750000	9,840000	0,000000
307545	9,730000	9,820000	0,000000
307551	9,700000	9,850000	0,000000
307558	9,750000	9,830000	0,000000
307565	9,750000	9,850000	0,000000
307571	9,740000	9,830000	0,000000
307578	9,760000	9,770000	0,000000
307586	9,760000	9,810000	0,000000
307593	9,720000	9,860000	0,000000
307599	9,750000	9,850000	0,000000
307606	9,770000	9,820000	0,000000
307613	9,760000	9,840000	0,000000
307619	9,760000	9,830000	0,000000
307627	9,720000	9,840000	0,000000
307634	9,720000	9,840000	0,000000
307641	9,710000	9,860000	0,000000
307647	9,690000	9,850000	0,000000
307654	9,730000	9,830000	0,000000
307661	9,730000	9,820000	0,000000
307668	9,760000	9,830000	0,000000
307675	9,750000	9,840000	0,000000
307682	9,710000	9,820000	0,000000
307689	9,680000	9,840000	0,000000
307696	9,750000	9,830000	0,000000
307702	9,740000	9,840000	0,000000
307709	9,740000	9,860000	0,000000
307717	9,750000	9,840000	0,000000
307723	9,750000	9,800000	0,000000
307730	9,740000	9,830000	0,000000
307737	9,720000	9,830000	0,000000
307744	9,720000	9,800000	0,000000
307750	9,750000	9,820000	0,000000
307758	9,730000	9,850000	0,000000
307765	9,740000	9,830000	0,000000
307771	9,750000	9,830000	0,000000
307778	9,770000	9,820000	0,000000
307785	9,740000	9,820000	0,000000
307792	9,740000	9,810000	0,000000
307799	9,750000	9,810000	0,000000
307806	9,710000	9,810000	0,000000
307813	9,750000	9,870000	0,000000
307820	9,750000	9,840000	0,000000
307826	9,750000	9,820000	0,000000
307833	9,750000	9,820000	0,000000
307841	9,740000	9,870000	0,000000
307847	9,740000	9,820000	0,000000
307854	9,750000	9,850000	0,000000
307861	9,720000	9,800000	0,000000
307868	9,750000	9,850000	0,000000
307874	9,750000	9,830000	0,000000
307881	9,740000	9,830000	0,000000
307889	9,730000	9,850000	0,000000
307896	9,730000	9,830000	0,000000
307902	9,730000	9,860000	0,000000
307909	9,730000	9,830000	0,000000
307916	9,760000	9,810000	0,000000
307922	9,780000	9,830000	0,000000
307930	9,710000	9,860000	0,000000
307937	9,740000	9,820000	0,000000
307944	9,700000	9,810000	0,000000
307950	9,730000	9,850000	0,000000
307957	9,730000	9,840000	0,000000
307964	9,740000	9,820000	0,000000
307972	9,710000	9,810000	0,000000
307978	9,720000	9,860000	0,000000
307985	9,720000	9,880000	0,000000
307992	9,740000	9,860000	0,000000
307998	9,720000	9,840000	0,000000
308005	9,750000	9,810000	0,000000
308013	9,740000	9,840000	0,000000
308020	9,700000	9,820000	0,000000
308026	9,710000	9,810000	0,000000
308033	9,750000	9,830000	0,000000
308040	9,740000	9,850000	0,000000
308047	9,760000	9,870000	0,000000
308054	9,750000	9,850000	0,000000
308061	9,710000	9,830000	0,000000
308068	9,710000	9,820000	0,000000
308075	9,690000	9,850000	0,000000
308081	9,700000	9,840000	0,000000
308088	9,740000	9,840000	0,000000
308096	9,760000	9,850000	0,000000
308102	9,760000	9,810000	0,000000
308109	9,720000	9,850000	0,000000
308116	9,730000	9,800000	0,000000
308123	9,750000	9,790000	0,000000
