time	CH1	CH2	CH3
3335	9,750000	9,840000	0,000000
3341	9,760000	9,830000	0,000000
3348	9,740000	9,820000	0,000000
3354	9,760000	9,820000	0,000000
3361	9,740000	9,830000	0,000000
3367	9,740000	9,830000	0,000000
3375	9,710000	9,820000	0,000000
3382	9,750000	9,840000	0,000000
3388	9,750000	9,820000	0,000000
3395	9,780000	9,830000	0,000000
3401	9,780000	9,790000	0,000000
3408	9,730000	9,790000	0,000000
3415	9,710000	9,820000	0,000000
3422	9,710000	9,810000	0,000000
3429	9,720000	9,830000	0,000000
3435	9,760000	9,840000	0,000000
3442	9,740000	9,820000	0,000000
3448	9,720000	9,840000	0,000000
3456	9,750000	9,820000	0,000000
3462	9,740000	9,820000	0,000000
3469	9,730000	9,830000	0,000000
3476	9,730000	9,830000	0,000000
3482	9,700000	9,850000	0,000000
3489	9,720000	9,850000	0,000000
3495	9,730000	9,850000	0,000000
3503	9,740000	9,850000	0,000000
3509	9,740000	9,820000	0,000000
3516	9,730000	9,870000	0,000000
3523	9,740000	9,810000	0,000000
3529	9,750000	9,790000	0,000000
3536	9,750000	9,810000	0,000000
3543	9,760000	9,830000	0,000000
3550	9,760000	9,820000	0,000000
3556	9,710000	9,830000	0,000000
3563	9,710000	9,850000	0,000000
3570	9,720000	9,840000	0,000000
3576	9,760000	9,800000	0,000000
3584	9,740000	9,850000	0,000000
3590	9,740000	9,860000	0,000000
3597	9,740000	9,820000	0,000000
3603	9,740000	9,810000	0,000000
3610	9,760000	9,840000	0,000000
3617	9,750000	9,830000	0,000000
3623	9,710000	9,840000	0,000000
3631	9,730000	9,830000	0,000000
3637	9,740000	9,840000	0,000000
3644	9,740000	9,830000	0,000000
3650	9,730000	9,820000	0,000000
3657	9,730000	9,810000	0,000000
3664	9,720000	9,830000	0,000000
3671	9,750000	9,820000	0,000000
3678	9,750000	9,860000	0,000000
3684	9,760000	9,850000	0,000000
3691	9,770000	9,810000	0,000000
3697	9,770000	9,820000	0,000000
3704	9,750000	9,810000	0,000000
3712	9,710000	9,840000	0,000000
3718	9,710000	9,820000	0,000000
3725	9,710000	9,830000	0,000000
3731	9,710000	9,800000	0,000000
3738	9,710000	9,780000	0,000000
3744	9,740000	9,800000	0,000000
3751	9,750000	9,820000	0,000000
3759	9,790000	9,860000	0,000000
3765	9,780000	9,840000	0,000000
3772	9,770000	9,820000	0,000000
3778	9,760000	9,830000	0,000000
3785	9,730000	9,820000	0,000000
3791	9,690000	9,770000	0,000000
3799	9,720000	9,790000	0,000000
3806	9,730000	9,800000	0,000000
3812	9,750000	9,820000	0,000000
3819	9,740000	9,850000	0,000000
3825	9,810000	9,840000	0,000000
3832	9,780000	9,870000	0,000000
3838	9,770000	9,830000	0,000000
3846	9,710000	9,850000	0,000000
3853	9,730000	9,850000	0,000000
3859	9,710000	9,800000	0,000000
3866	9,690000	9,780000	0,000000
3872	9,700000	9,780000	0,000000
3879	9,730000	9,810000	0,000000
3886	9,760000	9,840000	0,000000
3893	9,820000	9,920000	0,000000
3900	9,820000	9,900000	0,000000
3906	9,830000	9,880000	0,000000
3913	9,730000	9,780000	0,000000
3919	9,700000	9,770000	0,000000
3927	9,680000	9,790000	0,000000
3933	9,730000	9,780000	0,000000
3940	9,720000	9,780000	0,000000
3947	9,720000	9,810000	0,000000
3953	9,750000	9,810000	0,000000
3960	9,810000	9,860000	0,000000
3966	9,830000	9,920000	0,000000
3974	9,810000	9,900000	0,000000
3980	9,750000	9,800000	0,000000
3987	9,710000	9,790000	0,000000
3994	9,640000	9,740000	0,000000
4000	9,590000	9,780000	0,000000
4007	9,660000	9,730000	0,000000
4014	9,770000	9,830000	0,000000
4021	9,910000	9,930000	0,000000
4027	9,980000	10,040000	0,000000
4034	9,820000	9,870000	0,000000
4041	9,660000	9,760000	0,000000
4047	9,620000	9,600000	0,000000
4055	9,640000	9,700000	0,000000
4061	9,720000	9,840000	0,000000
4068	9,710000	9,860000	0,000000
4074	9,810000	9,950000	0,000000
4081	9,940000	9,920000	0,000000
4088	9,820000	9,800000	0,000000
4094	9,730000	9,760000	0,000000
4102	9,630000	9,880000	0,000000
4108	9,660000	9,720000	0,000000
4115	9,660000	9,590000	0,000000
4121	9,770000	9,870000	0,000000
4128	9,900000	10,070000	0,000000
4135	9,740000	9,790000	0,000000
4142	9,800000	9,900000	0,000000
4149	9,720000	9,680000	0,000000
4155	9,640000	9,610000	0,000000
4162	9,740000	9,850000	0,000000
4168	9,540000	9,630000	0,000000
4175	9,720000	10,020000	0,000000
4182	10,000000	9,960000	0,000000
4189	9,860000	9,730000	0,000000
4196	9,880000	9,990000	0,000000
4202	9,750000	9,810000	0,000000
4209	9,700000	9,820000	0,000000
4215	9,730000	9,780000	0,000000
4222	9,490000	9,480000	0,000000
4230	9,840000	10,040000	0,000000
4236	9,760000	9,640000	0,000000
4243	9,970000	10,120000	0,000000
4249	9,780000	9,670000	0,000000
4256	9,760000	9,970000	0,000000
4262	9,790000	9,580000	0,000000
4270	9,540000	9,850000	0,000000
4277	9,600000	9,550000	0,000000
4283	9,400000	9,630000	0,000000
4290	9,540000	9,590000	0,000000
4296	9,970000	10,240000	0,000000
4303	10,100000	9,990000	0,000000
4310	9,930000	10,240000	0,000000
4317	9,880000	10,020000	0,000000
4324	9,930000	9,810000	0,000000
4330	9,610000	9,330000	0,000000
4337	9,240000	9,560000	0,000000
4343	9,590000	10,010000	0,000000
4350	9,840000	9,810000	0,000000
4357	9,920000	9,930000	0,000000
4364	9,630000	9,880000	0,000000
4371	9,840000	9,730000	0,000000
4377	9,790000	9,450000	0,000000
4384	9,600000	9,850000	0,000000
4390	9,780000	10,130000	0,000000
4398	10,020000	9,760000	0,000000
4404	10,050000	9,900000	0,000000
4411	9,940000	9,840000	0,000000
4418	9,990000	9,980000	0,000000
4424	9,950000	10,000000	0,000000
4431	9,590000	9,860000	0,000000
4438	9,470000	9,480000	0,000000
4445	9,450000	9,120000	0,000000
4451	9,550000	9,770000	0,000000
4458	9,740000	10,030000	0,000000
4465	9,980000	10,080000	0,000000
4471	9,770000	10,300000	0,000000
4478	9,870000	10,240000	0,000000
4485	10,010000	9,860000	0,000000
4492	9,970000	9,690000	0,000000
4498	9,420000	9,560000	0,000000
4505	9,140000	9,140000	0,000000
4512	9,360000	9,190000	0,000000
4518	9,680000	9,280000	0,000000
4526	9,480000	10,030000	0,000000
4532	9,810000	9,650000	0,000000
4539	10,070000	9,790000	0,000000
4546	10,080000	10,100000	0,000000
4552	9,720000	10,020000	0,000000
4559	9,700000	9,440000	0,000000
4566	9,140000	9,580000	0,000000
4573	9,320000	9,270000	0,000000
4579	9,400000	9,700000	0,000000
4586	9,440000	9,880000	0,000000
4593	10,250000	10,140000	0,000000
4599	9,940000	10,100000	0,000000
4606	10,330000	9,860000	0,000000
4613	10,180000	9,980000	0,000000
4620	9,870000	9,790000	0,000000
4626	9,660000	9,920000	0,000000
4633	9,340000	9,560000	0,000000
4640	9,320000	9,580000	0,000000
4646	9,280000	9,270000	0,000000
4654	9,730000	9,880000	0,000000
4660	10,070000	10,600000	0,000000
4667	10,820000	10,730000	0,000000
4674	10,750000	10,120000	0,000000
4680	10,270000	10,150000	0,000000
4687	9,280000	9,350000	0,000000
4694	8,370000	8,500000	0,000000
4701	7,990000	8,550000	0,000000
4707	8,760000	9,010000	0,000000
4714	9,630000	10,100000	0,000000
4721	11,530000	11,660000	0,000000
4727	12,110000	12,640000	0,000000
4734	11,690000	11,160000	0,000000
4741	10,060000	9,370000	0,000000
4748	8,790000	8,180000	0,000000
4755	7,460000	7,280000	0,000000
4761	7,280000	8,110000	0,000000
4768	9,580000	9,450000	0,000000
4774	10,920000	11,200000	0,000000
4782	12,290000	12,270000	0,000000
4789	11,970000	11,840000	0,000000
4795	10,700000	10,650000	0,000000
4802	9,200000	8,420000	0,000000
4809	7,390000	7,370000	0,000000
4815	6,940000	7,220000	0,000000
4823	8,710000	9,450000	0,000000
4829	11,020000	10,900000	0,000000
4836	12,020000	12,410000	0,000000
4843	13,190000	12,370000	0,000000
4849	11,350000	11,080000	0,000000
4856	9,150000	9,030000	0,000000
4862	7,270000	7,460000	0,000000
4870	7,100000	6,950000	0,000000
4877	8,040000	9,040000	0,000000
4883	10,370000	11,060000	0,000000
4890	11,570000	12,310000	0,000000
4896	11,830000	11,830000	0,000000
4903	11,610000	10,990000	0,000000
4911	9,250000	8,890000	0,000000
4917	7,520000	8,060000	0,000000
4924	7,450000	7,740000	0,000000
4930	8,500000	8,750000	0,000000
4937	9,040000	9,840000	0,000000
4944	11,070000	11,300000	0,000000
4951	11,820000	11,570000	0,000000
4958	11,350000	11,010000	0,000000
4965	10,590000	10,140000	0,000000
4971	9,150000	8,360000	0,000000
4978	7,680000	7,940000	0,000000
4984	7,940000	8,380000	0,000000
4992	9,840000	10,210000	0,000000
4999	10,430000	11,030000	0,000000
5005	10,740000	11,760000	0,000000
5012	11,210000	10,620000	0,000000
5018	10,170000	9,410000	0,000000
5025	9,020000	8,630000	0,000000
5032	7,960000	8,560000	0,000000
5039	9,310000	9,410000	0,000000
5046	8,990000	9,810000	4,250000
5052	9,660000	9,920000	4,250000
5059	11,530000	10,760000	4,250000
5066	11,630000	10,920000	4,250000
5072	9,920000	10,510000	4,250000
5080	8,850000	9,490000	4,250000
5086	9,410000	8,690000	4,250000
5093	8,190000	8,450000	4,250000
5100	8,550000	9,690000	4,250000
5106	10,100000	10,120000	4,250000
5113	11,050000	10,620000	4,250000
5121	10,240000	10,320000	4,250000
5127	9,940000	10,530000	4,250000
5134	10,270000	10,260000	4,250000
